from,to,comm_from,comm_to
59498,58670,1,1
168209,73993,1,1
56333,143282,1,1
32438,36898,1,1
36775,34260,1,1
6599,3713,1,1
89401,75451,1,1
161263,102371,1,1
62323,100702,1,1
148226,131285,1,1
8777,22372,1,1
6236,63643,1,1
163114,53588,1,1
68483,17554,1,1
142778,161965,1,1
13344,28419,1,1
36287,58670,1,1
2643,102864,1,1
161566,58670,1,1
69992,62175,1,1
69720,84635,1,1
74505,102864,1,1
12242,142127,1,1
50471,44482,1,1
140497,3537,1,1
75584,87903,1,1
96858,114484,1,1
149045,63074,1,1
102888,87973,1,1
155985,17270,1,1
157109,102371,1,1
111990,129126,1,1
16671,102864,1,1
1524,63074,1,1
125702,129126,1,1
128684,130523,1,1
73021,19890,1,1
20319,6236,1,1
19140,98679,1,1
114828,102864,1,1
174784,161552,1,1
73021,6599,1,1
147905,6599,1,1
16340,134630,1,1
123003,97573,1,1
168945,139585,1,1
73681,68375,1,1
25752,27435,1,1
128095,90850,1,1
169198,116479,1,1
131290,71946,1,1
121867,36898,1,1
171698,102864,1,1
89132,103679,1,1
103605,20739,1,1
165774,7127,1,1
94181,71601,1,1
35269,161442,1,1
171690,20111,1,1
73021,50025,1,1
165988,34260,1,1
43462,159411,1,1
93947,58670,1,1
27411,102864,1,1
46722,102864,1,1
1976,6599,1,1
153999,125401,1,1
20248,58730,1,1
21313,109104,1,1
16002,20500,1,1
85265,102864,1,1
134306,102864,1,1
48350,16002,1,1
59709,125720,1,1
11397,167024,1,1
21089,163960,1,1
74859,25890,1,1
157109,102864,1,1
51187,147905,1,1
91361,31668,1,1
135519,169814,1,1
110499,17270,1,1
9551,25907,1,1
7500,67086,1,1
20692,75138,1,1
17592,20111,1,1
57130,77433,1,1
82411,39153,1,1
83606,111590,1,1
3039,26400,1,1
27527,174784,1,1
72391,102864,1,1
65675,137913,1,1
155109,6236,1,1
52445,102864,1,1
69720,69773,1,1
26741,124540,1,1
71846,53800,1,1
161841,102864,1,1
104724,58670,1,1
51644,155918,1,1
73021,102864,1,1
29945,107374,1,1
25215,93947,1,1
124548,86960,1,1
128370,17270,1,1
72544,45000,1,1
122227,26400,1,1
144217,114864,1,1
112944,134630,1,1
3209,152385,1,1
160390,158308,1,1
145517,102864,1,1
50471,105352,1,1
73021,139585,1,1
143866,3209,1,1
53787,93682,1,1
124540,93947,1,1
93911,124540,1,1
152414,93947,1,1
104724,35232,1,1
73021,92381,1,1
51187,136402,1,1
69992,65917,1,1
59498,41971,1,1
17270,102864,1,1
10165,102864,1,1
89052,17814,1,1
26400,114484,1,1
66936,167024,1,1
67629,106016,1,1
57130,48325,1,1
34988,105870,1,1
59498,87903,1,1
44361,102864,1,1
51187,168359,1,1
55979,89432,1,1
32582,65465,1,1
138226,18963,1,1
73021,155109,1,1
53787,102864,1,1
63855,31668,1,1
173553,91495,1,1
93682,93682,1,1
152414,162552,1,1
58794,31668,1,1
110499,167613,1,1
70686,40128,1,1
102864,102864,1,1
124540,176860,1,1
64542,48843,1,1
124540,31668,1,1
86249,12737,1,1
11397,156422,1,1
128560,48029,1,1
126854,1179,1,1
9399,102864,1,1
164704,68051,1,1
92520,135880,1,1
71289,89021,1,1
131290,34835,1,1
55301,89432,1,1
8150,6236,1,1
89322,102864,1,1
95650,12737,1,1
55301,157937,1,1
96001,124721,1,1
154960,102864,1,1
147905,156422,1,1
102371,102864,1,1
109966,58670,1,1
16340,149723,1,1
68483,102864,1,1
85265,12890,1,1
77704,169814,1,1
61021,36386,1,1
150803,31873,1,1
73021,102864,1,1
69932,102864,1,1
166038,41768,1,1
168116,97573,1,1
73021,63855,1,1
23398,167024,1,1
149641,26400,1,1
166535,102864,1,1
169198,93947,1,1
104832,112080,1,1
2619,6599,1,1
31716,102864,1,1
164374,17814,1,1
161965,45830,1,1
58916,129392,1,1
135519,125720,1,1
157109,102864,1,1
46722,123731,1,1
95090,102864,1,1
155985,116479,1,1
89774,58670,1,1
12153,13344,1,1
98957,75138,1,1
112858,102864,1,1
5978,23925,1,1
123852,156769,1,1
40099,134630,1,1
98629,125638,1,1
58670,89432,1,1
86144,174900,1,1
135519,102864,1,1
81991,58670,1,1
77785,63778,1,1
27511,141461,1,1
64529,102208,1,1
70686,102864,1,1
3537,130523,1,1
161360,170520,1,1
34309,78273,1,1
73021,102864,1,1
154013,141461,1,1
1887,97736,1,1
55301,169814,1,1
69720,6599,1,1
54187,112721,1,1
75607,121867,1,1
131059,148690,1,1
174784,84483,1,1
56315,174478,1,1
26128,129126,1,1
97331,102864,1,1
28506,52505,1,1
36901,69992,1,1
102864,20111,1,1
119196,28419,1,1
157454,97331,1,1
164374,117439,1,1
68375,58670,1,1
164796,165774,1,1
135880,102864,1,1
113795,12737,1,1
68375,13088,1,1
43966,164770,1,1
73021,139585,1,1
105356,102864,1,1
59498,53658,1,1
168132,102932,1,1
3631,58670,1,1
85595,34260,1,1
170731,163328,1,1
109988,122268,1,1
76074,84309,1,1
173494,68051,1,1
85126,162553,1,1
98629,124003,1,1
81555,36898,1,1
105387,6599,1,1
87409,31668,1,1
173938,51187,1,1
73021,176860,1,1
164770,152414,1,1
43966,106016,1,1
73021,102864,1,1
160437,69992,1,1
