from,to,comm_from,comm_to
85265,88934,1,1
85265,28707,1,1
85265,88934,1,1
64289,112080,1,1
64289,75138,1,1
64289,102864,1,1
101447,75612,2,2
13711,14736,1,1
34835,129126,1,1
36498,27511,1,1
22665,167024,1,1
78660,102864,1,1
119357,71867,1,1
159793,80659,2,2
169198,91794,1,1
98957,6599,1,1
54499,6599,1,1
229,17554,1,1
89833,46649,1,1
89833,102864,1,1
89833,2314,1,1
5978,63074,1,1
5978,167024,1,1
5978,6599,1,1
122268,87973,1,1
164374,77163,1,1
147232,168359,1,1
147232,128624,1,1
147232,55474,1,1
162977,102864,1,1
32906,102864,1,1
162407,102864,1,1
132833,114560,2,2
132833,46649,2,1
32906,4346,1,1
25755,91530,1,1
121867,50058,1,1
25755,58670,1,1
25755,46649,1,1
40160,97323,1,1
40160,123731,1,1
138286,58670,1,1
18593,125720,1,1
18593,46649,1,1
18593,130455,1,1
32438,154219,1,1
154892,43965,1,1
154892,2314,1,1
154892,51187,1,1
154892,103012,1,1
58670,50058,1,1
54037,96858,1,1
54037,102864,1,1
47770,102864,1,1
138286,58670,1,1
138286,46649,1,1
87243,159037,1,1
90850,154219,1,1
89052,21089,1,1
17446,130570,1,1
17446,17446,1,1
25755,58670,1,1
119357,102864,1,1
54037,58670,1,1
174788,133606,2,2
34835,63074,1,1
34835,167024,1,1
34835,6599,1,1
11483,58670,1,1
11483,66181,1,1
82810,102864,1,1
159693,128624,1,1
159693,55474,1,1
84985,46649,2,1
89052,149641,1,1
158308,46649,1,1
73021,58670,1,1
62232,69992,1,1
62530,128624,1,1
62530,55474,1,1
114560,46649,2,1
80921,158763,2,2
32906,149723,1,1
93322,3209,1,1
93322,6599,1,1
101447,47405,2,2
40437,66052,1,1
40437,46649,1,1
84985,46649,2,1
21107,75612,2,2
50471,45697,1,1
34835,77347,1,1
176015,102864,1,1
155307,148386,2,2
73021,78989,1,1
73021,102864,1,1
36506,167024,1,1
59443,112716,1,1
59443,142814,1,1
75766,28379,2,2
7463,164188,1,1
7463,67749,1,1
59498,154219,1,1
126854,58670,1,1
126854,167024,1,1
126854,6599,1,1
67891,52445,1,1
93384,128624,1,1
93384,55474,1,1
32906,89021,1,1
132066,47405,2,2
84985,47405,2,2
84985,149869,2,2
84985,28379,2,2
171140,102864,1,1
78660,150781,1,1
78660,46649,1,1
78660,167024,1,1
78660,130455,1,1
78660,36506,1,1
32906,3209,1,1
32906,6599,1,1
56315,23582,1,1
51501,161552,1,1
51501,97573,1,1
84985,75612,2,2
84985,47405,2,2
134306,87903,1,1
84985,47405,2,2
168209,58670,1,1
168209,46649,1,1
36432,114560,2,2
36432,11222,2,1
141923,102864,1,1
101447,47405,2,2
101447,75612,2,2
101447,28379,2,2
36144,27511,1,1
160437,10656,1,1
132066,131617,2,2
59993,102864,1,1
73021,158308,1,1
73021,46649,1,1
21959,125720,1,1
21959,46649,1,1
21959,130455,1,1
138422,40374,1,1
61398,149869,1,2
65769,66052,1,1
65769,46649,1,1
14798,58670,1,1
78660,58670,1,1
78660,46649,1,1
143866,102864,1,1
130570,17446,1,1
25755,14736,1,1
114560,11222,2,1
138422,159270,1,1
59204,89021,1,1
155307,131617,2,2
119340,150781,1,1
119340,46649,1,1
119340,167024,1,1
119340,130455,1,1
119340,36506,1,1
109873,84598,2,1
109873,6808,2,1
109873,28379,2,2
123662,137522,2,2
67891,114874,1,1
67891,14818,1,1
78660,93947,1,1
78660,46649,1,1
123662,84851,2,2
39856,89432,1,1
39856,46649,1,1
63074,89432,1,1
63074,167024,1,1
63074,6599,1,1
25755,55474,1,1
86857,58670,1,1
78989,71867,1,1
29806,163624,1,1
138422,102864,1,1
173938,93947,1,1
173938,46649,1,1
173938,50058,1,1
153104,89021,1,1
37239,153180,2,2
53079,150306,1,1
44497,47405,2,2
44497,149869,2,2
44497,28379,2,2
97736,3209,1,1
20849,46649,1,1
168723,124721,1,1
168723,91530,1,1
168723,168723,1,1
168723,168723,1,1
50471,102864,1,1
138422,17554,1,1
86157,13088,1,1
86157,112080,1,1
86157,64289,1,1
159103,20739,1,1
159103,70419,1,1
138422,158308,1,1
138422,46649,1,1
14736,35366,1,1
14736,168182,1,1
155977,19158,1,1
101447,28413,2,2
98957,63074,1,1
98957,167024,1,1
98957,6599,1,1
87903,87903,1,1
138422,81991,1,1
138422,102864,1,1
32906,46649,1,1
32906,102864,1,1
97323,40160,1,1
32906,105172,1,1
32906,46649,1,1
44573,87903,1,1
64799,3209,1,1
64799,6599,1,1
86157,58670,1,1
59498,87973,1,1
107662,107737,1,1
101968,55474,1,1
10165,159270,1,1
170646,87,2,2
170646,28379,2,2
64195,28379,2,2
162977,47770,1,1
134306,174784,1,1
119196,102864,1,1
112944,4221,1,1
32906,48641,1,1
134306,174784,1,1
134306,153761,1,1
134306,163114,1,1
134306,92924,1,1
134306,119905,1,1
63074,167024,1,1
63074,6599,1,1
150781,93947,1,1
150781,46649,1,1
32906,169814,1,1
32906,89021,1,1
32906,46649,1,1
10165,93947,1,1
10165,46649,1,1
32906,168182,1,1
32906,26400,1,1
10165,3209,1,1
10165,6599,1,1
114560,11222,2,1
69720,98976,1,1
125448,43798,1,1
125448,11222,1,1
57317,48641,1,1
4936,163624,1,1
134761,5604,2,2
34725,7764,1,1
148226,63245,1,1
119196,55474,1,1
89322,159270,1,1
